TRACTCE10,GEOID10,PercentEBLL2018,PercentEBLL2017,PercentEBLL2016,PercentEBLL2015,TotalPercentEBLL15_18
520002,42003520002,0,0,6.06060606,3.57142857,1.88679245
521100,42003521100,1.51515152,0,1.96078431,0,1.02040816
521200,42003521200,0,0,0,2.04081633,0.41322314
521301,42003521301,1.26582278,0,2.22222222,7.5,2.28310502
521302,42003521302,3.30578512,1.2345679,2.5974026,0,2.06489676
521401,42003521401,0,0,0,0,0
521402,42003521402,0,0,0,0,0
521500,42003521500,0,0,0,0,0
522000,42003522000,4.65116279,2.08333333,4.54545455,6.38297872,4.3956044
523100,42003523100,1.53846154,1.96078431,1.92307692,1.51515152,1.70940171
523200,42003523200,0,1.96078431,7.01754386,4.16666667,3.21100917
523300,42003523300,0,0,4.65116279,0,1.08108108
523400,42003523400,0,0,1.88679245,0,0.42918455
523501,42003523501,0,0,1.92307692,0,0.43290043
523502,42003523502,6.25,0,0,0,1.72413793
523600,42003523600,1.88679245,1.85185185,0,0,1.09289617
523701,42003523701,0,0,0,0,0
523702,42003523702,0,1.58730159,1.47058824,1.5625,1.13207547
523800,42003523800,0,0,0,0,0
524000,42003524000,3.38983051,3.03030303,3.33333333,4.34782609,3.44827586
525100,42003525100,2.94117647,0,0,0,0.93457944
525200,42003525200,2.56410256,0,0,5,1.98019802
525300,42003525300,0,0,0,0,0
526101,42003526101,0,0,0,0,0
526102,42003526102,0,0,0,0,0
526201,42003526201,0,0,0,0,0
526202,42003526202,0,0,0,0,0
526301,42003526301,0,0,0,0,0
526302,42003526302,0,0,0,0,0
550900,42003550900,15.55555556,12.5,7.69230769,6.89655172,11.42857143
551200,42003551200,3.25203252,3.66972477,6.97674419,3.22580645,4.21052632
551300,42003551300,4.16666667,7.40740741,10,0,5.55555556
551900,42003551900,4.16666667,0,0,0,1.26582278
552000,42003552000,13.75,10.97560976,14.28571429,12.76595745,12.74900398
552100,42003552100,4,7.40740741,16.66666667,4.76190476,7.69230769
552200,42003552200,4.54545455,8,6.25,0,5.12820513
552300,42003552300,8.86075949,4.16666667,3.63636364,12.5,7.39130435
552400,42003552400,8.82352941,3.17460317,3.92156863,13.04347826,7.01754386
560400,42003560400,0,5.26315789,0,14.28571429,3.84615385
560500,42003560500,2.94117647,0,13.63636364,5,4.6728972
560600,42003560600,9.52380952,6.25,7.69230769,10,8.43373494
561000,42003561000,13.79310345,6.25,3.33333333,4.16666667,6.95652174
561100,42003561100,6.89655172,6.4516129,0,7.69230769,5.04201681
561200,42003561200,30.76923077,21.42857143,6.89655172,14.28571429,18.01801802
561400,42003561400,5.20833333,4.10958904,2.98507463,1.36986301,3.55987055
561500,42003561500,1.96078431,11.62790698,5.40540541,6.25,6.13496933
561600,42003561600,0,2.08333333,2.43902439,12.19512195,3.95480226
561700,42003561700,0,0,11.11111111,0,2.5
561900,42003561900,10.71428571,0,6.4516129,0,4.38596491
562000,42003562000,0,0,0,10,2
562300,42003562300,4.76190476,6.57894737,14.49275362,6.34920635,7.87671233
562400,42003562400,2.08333333,8.10810811,4.25531915,15.68627451,7.65027322
562500,42003562500,8.33333333,15.94202899,17.74193548,9.33333333,12.58992806
562600,42003562600,3.125,6.66666667,6.97674419,5.76923077,5.81395349
562700,42003562700,0,5.26315789,4.34782609,0,2.85714286
562800,42003562800,14.28571429,3.33333333,0,4.54545455,5.94059406
562900,42003562900,0,3.03030303,3.57142857,8.82352941,4
563000,42003563000,5.12820513,5.88235294,0,3.57142857,3.84615385
563100,42003563100,1.81818182,5.40540541,2.17391304,1.75438596,2.56410256
563200,42003563200,3.84615385,0,6.66666667,20,7.89473684
563300,42003563300,11.76470588,0,0,0,5.26315789
563800,42003563800,0,3.33333333,0,4.76190476,1.66666667
563900,42003563900,0,1.88679245,0,0,0.51282051
564000,42003564000,0,0,0,0,0
564100,42003564100,0,14.28571429,27.27272727,22.22222222,16.66666667
564200,42003564200,0,0,0,0,0
564400,42003564400,0,0,5.55555556,0,1.48514851
564500,42003564500,0,0,0,2.77777778,0.625
980500,42003980500,,,,,
981200,42003981200,,,,,
981800,42003981800,,,,,
982200,42003982200,,,,,
.,.,0.64279155,1.13234253,1.2345679,1.31004367,0.95598486
